cas_number,label,table_link,db_id,indication
,SNX-5422,1869X1777,,Investigated for use/treatment in cancer/tumors (unspecified).
,"N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine",1869X1815,,
85-79-0,Cinchocaine,1870X1624,DB00527,For production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks.
,Para-Toluene Sulfonate,1870X1700,DB03120,
91-84-9,Mepyramine,1870X1788,,"Mepyramine is a first generation antihistamine used in treating allergies, ymptomatic relief of hypersensitivity reaction, and in pruritic skin disorders."
,(S)-1-PHENYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE,1870X1823,,
186018-45-1,Metreleptin,1870X1858,,Metreleptin is indicated as an adjunct to diet as replacement therapy to treat the complications of leptin deficiency in patients with congenital or acquired generalized lipodystrophy.
59-46-1,Procaine,1871X1630,DB00721,Used as a local anesthetic primarily in oral surgery
28319-77-9,Choline alfoscerate,1871X1745,,
70374-39-9,Lornoxicam,1871X1789,,"For the treatment of acute mild to moderate pain, as well as pain and inflammation of the joints caused by certain types of rheumatic diseases."
842133-18-0,Canagliflozin,1871X1854,,Canagliflozin is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Use in type 1 diabetes mellitus patients or in treatment of diabetic ketoacidosis is not recommended.
,"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",1872X1661,DB01782,
98-79-3,Pidolic Acid,1872X1699,DB03088,"There is currently no clinically approved and/or marketed medicine that relies upon pidolic acid as an active ingredient for any formal therapeutic indication.    Although pidolic acid may be sold in a variety of non-prescription, over-the-counter dietary supplement products for cognitive or memory enhancement, there are many studies that suggest that such products or such supplementation do not elicit any kind of cognitive benefit to users [A32981, A32982]. In fact, the general suggestion for any such pidolic acid product is to exercise caution in their recommendation as much more research is necessary [A32981].    Pidolic acid and sodium pidolic acid are, however, used to some extent in skin and hair conditioning agents owing to their humectant characteristics [F53]."
,Diisopropylphosphono Group,1872X1740,DB04491,
92689-49-1,Annamycin,1872X1783,,Investigated for use/treatment in breast cancer and leukemia (unspecified).
290297-26-6,Netupitant,1872X1858,,Netupitant is an antiemitic drug approved by the FDA in October 2014 for use in combination with palonosetron for the prevention of acute and delayed vomiting and nausea associated with cancer chemotherapy including highly emetogenic chemotherapy.
2609-46-3,Amiloride,1873X1626,DB00594,For use as adjunctive treatment with thiazide diuretics or other kaliuretic-diuretic agents in congestive heart failure or hypertension.
,"4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine",1873X1697,DB03019,
,"2-[4-(4-Chlorophenyl)Cyclohexylidene]-3,4-Dihydroxy-1(2h)-Naphthalenone",1873X1734,DB04281,
891-60-1,Declopramide,1873X1783,,Investigated for use/treatment in colorectal cancer and inflammatory bowel disease.
39552-01-7,Befunolol,1873X1857,,Used in the management of open angle glaucoma. PMID: 12480285.
591-81-1,Gamma Hydroxybutyric Acid,1874X1651,,"Used as a general anesthetic, to treat conditions such as insomnia, clinical depression, narcolepsy, and alcoholism, and to improve athletic performance."
,N-[4-(2-{2-[3-(2-Bromo-Acetylamino)-Propionylamino]-3-Hydroxy-Propionylamino}-Ethyl)-Phenyl]-Oxalamic Acid,1874X1690,DB02784,
3616-04-4,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",1874X1724,DB03945,
,"4-(2-chlorophenyl)-8-(2-hydroxyethyl)-6-methylpyrrolo[3,4-e]indole-1,3(2H,6H)-dione",1874X1805,,
,"2-DEOXY-3,4-BIS-O-[3-(4-HYDROXYPHENYL)PROPANOYL]-L-THREO-PENTARIC ACID",1874X1837,,
145158-71-0,Tegaserod,1875X1641,DB01079,Provides relief from the symptoms of irritable bowel syndrome including chronic idiopathic constipation.
,"N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide",1875X1683,DB02538,
52645-53-1,Permethrin,1875X1753,,For the treatment of infestation with <i>Sarcoptes scabiei</i> (scabies).
,"6-({5-fluoro-2-[(3,4,5-trimethoxyphenyl)amino]pyrimidin-4-yl}amino)-2,2-dimethyl-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one",1875X1802,,
869886-67-9,Ulixertinib,1875X1953,,
80573-04-2,Balsalazide,1876X1639,DB01014,For the treatment of mildly to moderately active ulcerative colitis.
,Malate Ion,1876X1711,DB03499,
,4-(2-HYDROXYBENZYLAMINO)-N-(3-(4-FLUOROPHENOXY)PHENYL)PIPERIDINE-1-SULFONAMIDE,1876X1744,,
,(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-{(S)-HYDROXY[(1R)-2-METHYL-1-{[(2-PHENYLETHYL)SULFONYL]AMINO}PROPYL]PHOSPHORYL}PROPANOIC ACID,1876X1792,,
94-24-6,Tetracaine,1876X1859,,The combination lidocaine and tetracaine patch is indicated for local dermal analgesia for superficial dermatological procedures and superficial venous access.  The combination lidocaine and tetracaine cream is intended to provide topical local analgesia for superficial dermatological procedures.
66376-36-1,Alendronic acid,1877X1627,DB00630,For the treatment and prevention of osteoporosis in women and Paget's disease of bone in both men and women.
,"N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine",1877X1669,DB02062,
,"3-(4-Amino-1-Tert-Butyl-1h-Pyrazolo[3,4-D]Pyrimidin-3-Yl)Phenol",1877X1739,DB04463,
204656-20-2,Liraglutide,1877X1787,,For use in/treatment of diabetes mellitus type 2.
,"(2R)-1-[4-({6-[(2,6-Difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",1877X1820,,
918504-65-1,Vemurafenib,1877X1853,DB08881,"Vemurafenib is approved since 2011 for the treatment of metastatic melanoma with a mutation on BRAF in the valine located in the exon 15 at codon 600, this mutation is denominated as V600E.[A31270] The V600E mutation, a substitution of glutamic acid for valine, accounts for 54% of the cases of cutaneous melanoma.[A31271]   Vemurafenib approval was extended in 2017, for its use as a treatment of adult patients with Erdheim-Chester Disease whose cancer cells present BRAF V600 mutation.[L1013] Erdheim-Chester disease is an extremely rare histiocyte cell disorder that affects large bones, large vessels, central nervous system, as well as, skin and lungs. It is reported an association of Erdheim-Chester disease and V600E mutation.[A31272]"
,2-Methyl-3-(2-Aminothiazolo)Propanal,1878X1696,DB03024,
,"8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine",1878X1732,DB04254,
15574-96-6,Pizotifen,1878X1777,,Indicated for the prophylactic management of migraines [L2292].
,AC-(D)PHE-PRO-BOROHOMOLYS-OH,1878X1816,,
306-60-5,Agmatine,1878X1851,,"Agmatine is being studied experimentally for several indications such as cardioprotection, diabetes, decreased kidney function, neuroprotection (stroke, severe CNS injuries, epilepsy, glaucoma, and neuropathic pain), and psychiatric conditions (depression, anxiety, schizophrenia, and cognition). As an investigational drug, agamatine is being studied in a non-blinded prospective case study in the United States looking at patients who have been diagnosed with small fiber peripheral neuropathy."
122647-31-8,Ibutilide,1879X1616,DB00308,Indicated for the rapid conversion of atrial fibrillation or atrial flutter of recent onset to sinus rhythm.
123018-47-3,Atiprimod,1879X1767,,"Investigated for use/treatment in cancer/tumors (unspecified), multiple myeloma, and rheumatoid arthritis."
,"3-AMINO-3-BENZYL-9-CARBOXAMIDE[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE",1879X1810,,
,"1,3,5-BENZENETRICARBOXYLIC ACID",1879X1845,,
86-13-5,Benzatropine,1880X1614,DB00245,For use as an adjunct in the therapy of all forms of parkinsonism and also for use in the control of extrapyramidal disorders due to neuroleptic drugs.
,N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide,1880X1685,DB02647,
,"6S-5,6,7,8-Tetrahydrobiopterin",1880X1722,DB03918,
182821-27-8,Daglutril,1880X1771,DB05796,Investigated for use/treatment in congestive heart failure and hypertension.
,"6-(2-fluorobenzyl)-2,4-dimethyl-4,6-dihydro-5H-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one",1880X1815,,
,"6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE",1880X1848,,
54910-89-3,Fluoxetine,1881X1621,DB00472,"Labeled indication include: major depressive disorder (MDD), moderate to severe bulimia nervosa, obsessive-compulsive disorder (OCD), premenstrual dysphoric disorder (PMDD), panic disorder with or without agoraphobia, and combination treatment with olanzapine for treatment-resistant or bipolar I depression. Unlabeled indications include: selective mutism, mild dementia-associated agitation in nonpsychotic patients, post-traumatic stress disorder (PTSD), social anxiety disorder, chronic neuropathic pain, fibromyalgia, and Raynaud's phenomenon."
,1h-Benoximidazole-2-Carboxylic Acid,1881X1696,DB03028,
,3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide,1881X1736,DB04394,
461432-26-8,Dapagliflozin,1881X1780,,"Dapagliflozin is indicated for adjunct management of glycemic control in patients with type 2 diabetes mellitus, in combination with diet and exercise."
862111-32-8,Aflibercept,1881X1852,,"The opthalmic agent is used for the treatment of neovascular (wet) age-related mascular degeneration (AMD) and macular edema following central retinal vein occulsion (CRVO). The systemic injection, known as ziv-aflibercept, in combination with 5-fluorouracil, leucovorin, irinotecan-(FOLFIRI), is for the treatment of metastatic colorectal cancer that is resistant to or progressed following treatment with oxaliplatin."
95058-81-4,Gemcitabine,2250X1620,DB00441,"Gemcitabine is indicated for the treatment of advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy; metastatic ovarian cancer; inoperable, locally advanced (Stage IIIA or IIIB), or metastatic (Stage IV) non-small cell lung cancer; and locally advanced (nonresectable Stage II or Stage III) or metastatic (Stage IV) adenocarcinoma of the pancreas."
,"Methyl 4,6-O-[(1r)-1-Carboxyethylidene]-Beta-D-Galactopyranoside",2250X1656,DB01651,
122547-72-2,Soraphen A,2250X1691,DB02859,
,MYO-029,2250X1774,,Investigated for use/treatment in muscular dystrophy.
,"CIS-(1R,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL",2250X1814,,
3737-09-5,Disopyramide,2251X1615,DB00280,"For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias. It is a Class Ia antiarrhythmic drug."
101932-71-2,Calyculin A,2251X1691,DB02860,
,"2,3-Dicarboxy-4-(2-Chloro-Phenyl)-1-Ethyl-5-Isopropoxycarbonyl-6-Methyl-Pyridinium",2251X1726,DB04055,
152-72-7,Acenocoumarol,2252X1649,,"For the treatment and prevention of thromboembolic diseases. More specifically, it is indicated for the for the prevention of cerebral embolism, deep vein thrombosis, pulmonary embolism, thromboembolism in infarction and transient ischemic attacks. It is used for the treatment of deep vein thrombosis and myocardial infarction."
,Phosphatidylethanolamine,2252X1734,DB04327,
346735-24-8,Amelubant,2252X1779,,"Investigated for use/treatment in asthma, chronic obstructive pulmonary disease (COPD), cystic fibrosis, and rheumatoid arthritis."
,"3-CARBOXAMIDO-1,3,5(10)-ESTRATRIEN-17(R)-SPIRO-2'(5',5'-DIMETHYL-6'OXO)TETRAHYDROPYRAN",2252X1817,,
34839-70-8,Metiamide,2252X1850,,"Potential in the treatment and the management of acid-reflux disorders (GERD), peptic ulcer disease, heartburn, and acid indigestion."
122320-73-4,Rosiglitazone,2253X1619,DB00412,Rosiglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
162401-32-3,Roflumilast,2253X1656,DB01656,Roflumilast is indicated as a treatment to reduce the risk of COPD exacerbations in patients with severe COPD associated with chronic bronchitis and a history of exacerbations. Roflumilast is not a bronchodilator and is not indicated for the relief of acute bronchospasm.
,FR236913,2253X1690,DB02830,
,N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)-4-Acetyl-Piperazine,2253X1728,DB04125,
182133-25-1,Arzoxifene,2253X1779,,"Investigated for use/treatment in breast cancer, osteoporosis, and endometrial cancer."
,octyl 3-deoxy-2-O-(6-deoxy-alpha-L-galactopyranosyl)-beta-D-xylo-hexopyranoside,2253X1815,,
,"2-{3-[(2S)-4,4-difluoro-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]-3-oxopropyl}-isoindole-1,3(2H)-dione",2253X1848,,
57-85-2,Testosterone propionate,2254X1649,DB01420,Testosterone propionate is often used for muscle mass building. The original medical indication is for the treatment of androgen deficiency in male adults either in hypogonadism or andropause.[L1161] Nowadays testosterone propionate is indicated for its use in heifers in order to stimulate maximal growth.[L1160]
29505-79-1,Dihydrogenphosphate,2254X1690,DB02831,
357613-86-6,Lumiliximab,2254X1777,,Investigated for use/treatment in asthma and leukemia (lymphoid).
60-26-4,Hexamethonium,2254X1854,,
22316-47-8,Clobazam,2255X1617,DB00349,"For treatment and management of epilepsy and seizures associated with Lennox-Gastaut syndrome, a difficult-to-treat form of childhood epilepsy."
159351-69-6,Everolimus,2255X1654,,"Everolimus is indicated for the treatment of postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer (advanced HR+ BC) in combination with exemestane, after failure of treatment with letrozole or anastrozole.  Indicated for the treatment of adult patients with progressive neuroendocrine tumors of pancreatic origin (PNET) with unresectable, locally advanced or metastatic disease.  Indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of treatment with sunitinib or sorafenib.  Indicated for the treatment of adult patients with renal angiomyolipoma and tuberous sclerosis complex (TSC), not requiring immediate surgery.  Indicated in pediatric and adult patients with tuberous sclerosis complex (TSC) for the treatment of subependymal giant cell astrocytoma (SEGA) that requires therapeutic intervention but cannot be curatively resected."
160970-54-7,Silodosin,2255X1778,,Treatment for symptomatic relief of benign prostatic hyperplasia
,"[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID",2255X1819,,
69308-37-8,Arbaclofen,2255X1852,,"Investigated in clinical trials as a potential treatment for spasticity in multiple sclerosis, autism spectrum disorder, and social withdrawal in fragile X syndrome."
7492-32-2,Isopropamide,2256X1655,,"For the treatment of a wide range of gastrointestinal disorders, including such conditions as peptic ulcer, gastritis, hyperchlorhydria, functional diarrhea, irritable or spastic colon, pyloroduodenal irritability, pylorospasm, acute nonspecific gastroenteritis, biliary dyskinesia and chronic cholelithiasis, duodenitis, gastrointestinal spasm; it may also be used to treat genitourinary spasm."
,Dansylamide,2256X1691,DB02866,
56995-20-1,Flupirtine,2256X1785,,Investigated for use/treatment in fibromyalgia.
,"(3R,4R,5R)-5-(HYDROXYMETHYL)-1-(3-PHENYLPROPYL)PIPERIDINE-3,4-DIOL",2256X1820,,
4757-55-5,Dimetacrine,2256X1855,,
28860-95-9,Carbidopa,2257X1612,DB00190,"For treatment of the symptoms of idiopathic Parkinson's disease (paralysis agitans), post-encephalitic parkinsonism"
339-44-6,Glycodiazine,2257X1648,,Glycodiazine is used concomitantly with insulin for the treatment of noninsulin-dependent (type 2) diabetes mellitus.
,5-Hydroxymethylene-6-Hydrofolic Acid,2257X1689,DB02800,
,Custirsen,2257X1766,,Investigated for use/treatment in brain cancer and breast cancer.
,(2R)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,2257X1811,,
,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",2257X1844,,
59865-13-3,Cyclosporine,2258X1609,DB00091,"For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis."
,Nicotinamide 8-Bromo-Adenine Dinucleotide Phosphate,2258X1723,DB03962,
79-17-4,Pimagedine,2258X1763,DB05383,Investigated for use/treatment in diabetic kidney disease.
109319-16-6,Von Willebrand Factor Human,2258X1944,,"The vWF and Factor VIII complex is indicated for the prevention of excessive bleeding during and after minor and major surgery in adult and pediatric von Willebrand disease patients. It is also indicated for the on-demand treatment and control of bleeding episodes.[L1880] The von Willebrand disease is an inherited disorder characterized by the deficiency or misfunction of the von Willebrand factor (vWF). Due to this deficiency, the blood cannot clot properly and the patients that present this disease are prone to prolonged or excessive bleeding. There are three types of this disease, and type 3 is an autosomal recessive inherited disorder marked by very low or absent levels of vWF.[L1867]"
23214-92-8,Doxorubicin,2259X1637,DB00997,"Doxorubicin is used to produce regression in disseminated neoplastic conditions like acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms’ tumor, neuroblastoma, soft tissue and bone sarcomas, breast carcinoma, ovarian carcinoma, transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, Hodgkin’s disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types. Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer."
,Deoxyuridine-5'-Diphosphate,2259X1707,DB03413,
9036-19-5,Octylphenoxy polyethoxyethanol,2259X1744,,
,"(3R,4R)-4-(pyrrolidin-1-ylcarbonyl)-1-(quinoxalin-2-ylcarbonyl)pyrrolidin-3-amine",2259X1796,,
,"5-chloro-7-[(1-methylethyl)amino]pyrazolo[1,5-a]pyrimidine-3-carbonitrile",2259X1830,,
594839-88-0,Tafamidis,2259X1899,,Tafamidis is indicated for the treatment of transthyretin amyloidosis in adult patients with stage 1 symptomatic polyneuropathy to delay peripheral neurologic impairment [FDA Label].
144701-48-4,Telmisartan,2260X1636,DB00966,"Used alone or in combination with other classes of antihypertensives for the treatment of hypertension. Also used in the treatment of diabetic nephropathy in hypertensive patients with type 2 diabetes mellitus, as well as the treatment of congestive heart failure (only in patients who cannot tolerate ACE inhibitors)."
,"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",2260X1678,DB02420,
,5-Iodouracil,2260X1711,DB03554,
289893-25-0,Arimoclomol,2260X1754,,"Investigated for use/treatment in amyotrophic lateral sclerosis (ALS), diabetes mellitus type 2, neurologic disorders, and neuropathy (diabetic)."
,"5-[(3R)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",2260X1800,,
781613-23-8,Tesevatinib,2260X1909,DB11973,
23031-25-6,Terbutaline,2261X1633,DB00871,"For the prevention and reversal of bronchospasm in patients 12 years of age and older with reversible, obstructive airway disease, as well as symptomatic management of reversible bronchospasm associated with bronchitis and emphysema. Also used acute IV and sub-Q therapy in selected women to inhibit uterine contractions in preterm labor (tocolysis) and prolong gestation when beneficial."
629-80-1,Hexadecanal,2261X1706,DB03381,
59-52-9,Dimercaprol,2261X1789,,"For the treatment of arsenic, gold and mercury poisoning. Indicated in acute lead poisoning when used concomitantly with edetate calcium disodium (DB00974)."
,2-OXOHEPTYLPHOSPHONIC ACID,2261X1823,,
94-07-5,Synephrine,2261X1861,,
72559-06-9,Rifabutin,2262X1623,DB00615,For the prevention of disseminated <i>Mycobacterium avium</i> complex (MAC) disease in patients with advanced HIV infection.
1618657-13-8,Pegpleranib,2262X1778,,Investigated for use/treatment in macular degeneration and eye disorders/infections.
,"(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol",2262X1815,,
274693-27-5,Ticagrelor,2262X1848,DB08816,For the prevention of thrombotic events (for example stroke or heart attack) in patients with acute coronary syndrome or myocardial infarction with ST elevation.
20830-75-5,Digoxin,2263X1616,DB00390,"For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure."
,Barbituric acid derivative,2263X1649,,
851776-28-8,MK-0354,2263X1772,,Investigated for use/treatment in atherosclerosis.
15676-16-1,Sulpiride,2264X1616,DB00391,Sulpiride is indicated for the treatment of schizophrenia.
57-50-1,Sucrose,2264X1686,DB02772,
,4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide,2264X1722,DB04002,
,SD118,2264X1757,,Central Nervous System - Neuropathic pain
1200-22-2,Lipoic Acid,2265X1609,DB00166,"For nutritional supplementation, also for treating dietary shortage or imbalance."
71-63-6,Digitoxin,2265X1646,,"For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure."
,"Alpha,Beta-Methyleneadenosine-5'-Triphosphate",2265X1681,DB02596,
,"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",2265X1716,DB03802,
,ADX10059,2265X1753,,"Investigated for use/treatment in anxiety disorders, gastroesophageal reflux disease (GERD), and migraine and cluster headaches."
,"7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE",2265X1801,,
,nocodazole,2265X1833,,
444606-18-2,Dilmapimod,2265X1912,DB12140,"Dilmapimod has been used in trials studying the treatment and diagnostic of Nerve Trauma, Inflammation, Pain, Neuropathic, Arthritis, Rheumatoid, and Coronary Heart Disease, among others."
5818-17-7,Methantheline,1866X1637,DB00940,"For the treatment of peptic ulcer disease, irritable bowel syndrome, pancreatitis, gastritis, biliary dyskinesia, pylorosplasm, and reflex neurogenic bladder in children."
171714-84-4,Darusentan,1866X1752,,For the treatment of congestive heart failure and hypertension.
,3-Hydroxypropyl 3-[(7-carbamimidoyl-1-naphthyl)carbamoyl]benzenesulfonate,1866X1798,,
16320-04-0,Gestrinone,1866X1900,,"Endometriosis with or without accompanying sterility. Treatment is limited to a single course of 6 months duration per lifetime [L1699, L1700]."
437-38-7,Fentanyl,1867X1633,DB00813,For the treatment of cancer patients with severe pain that breaks through their regular narcotic therapy.
,N-Acetyl-N'-Beta-D-Glucopyranosyl Urea,1867X1703,DB03218,
,"(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid",1867X1795,,
,"N-{(3S,4S)-4-[(6-AMINO-4-METHYLPYRIDIN-2-YL)METHYL]PYRROLIDIN-3-YL}-N'-(4-CHLOROBENZYL)ETHANE-1,2-DIAMINE",1867X1828,,
6533-00-2,Norgestrel,1867X1868,,Norgestrel in combination with ethinyl estradiol is indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception.
1115-65-7,3-Sulfinoalanine,1868X1672,DB02153,
138112-76-2,Agomelatine,1868X1786,,Agomelatine is indicated for the treatment of major depressive episodes in adults.
782500-75-8,Albiglutide,1868X1858,DB09043,Indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
74191-85-8,Doxazosin,1869X1626,DB00590,For treatment and management of mild to moderate hypertension and urinary obstruction symptoms caused by BPH.
110-62-3,Pentanal,1869X1665,DB01919,
701205-60-9,SUVN-502,1869X1778,,Investigated for use/treatment in neurologic disorders.
,N-METHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE,1869X1816,,
147536-97-8,Bosentan,1870X1625,DB00559,"Used in the treatment of pulmonary arterial hypertension (PAH), to improve exercise ability and to decrease the rate of clinical worsening (in patients with WHO Class III or IV symptoms)."
7439-96-5,Manganese,1870X1790,,Indicated for use as a supplement to intravenous solutions given for Total Parenteral Nutrition (TPN). Administration helps to maintain plasma levels and to prevent depletion of endogenous stores and subsequent deficiency symptoms.
,"3-(4-HYDROXYPHENYL)-4,5-DIHYDRO-5-ISOXAZOLE-ACETIC ACID METHYL ESTER",1870X1824,,
656247-17-5,Nintedanib,1870X1859,,Nintedanib is indicated for the treatment of idiopathic pulmonary fibrosis (IPF).
26675-46-7,Isoflurane,1871X1631,DB00753,For induction and maintenance of general anesthesia.
,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)",1871X1748,,
,6-{4-[4-(4-CHLOROPHENYL)PIPERIDIN-4-YL]PHENYL}-9H-PURINE,1871X1823,,
209342-40-5,Finafloxacin,1871X1858,,"Finafloxacin is indicated for the treatment of acute otitis externa (AOE) with or without an otowick, caused by susceptible strains of <i>Pseudomonas aeruginosa</i> and <i>Staphylococcus aureus</i> in patients age 1 year and older."
309-29-5,Doxapram,1872X1625,DB00561,For use as a temporary measure in hospitalized patients with acute respiratory insufficiency superimposed on chronic obstructive pulmonary disease.
,5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid,1872X1700,DB03124,
148396-36-5,Fradafiban,1872X1784,,Investigated for use/treatment in angina.
,"1-[3-({[(4-AMINO-5-FLUORO-2-METHYLQUINOLIN-3-YL)METHYL]THIO}METHYL)PHENYL]-2,2,2-TRIFLUOROETHANE-1,1-DIOL",1872X1820,,
8047-67-4,Iron saccharate,1872X1861,DB09146,Iron sucrose is elemental iron as an injection. It replenishes body iron stores in patients with iron deficiency.
1405-87-4,Bacitracin,1873X1627,DB00626,"For the treatment of infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. Also used in ointment form for topical treatment of a variety of localized skin and eye infections, as well as for the prevention of wound infections. Used against gram positive bacteria. Bacitracin is also used as an inhibitor of proteases and other enzymes.   However, specific activity of bactracin's inhibition of protein disulfide isomerase has been called into question."
,4-Piperidino-Piperidine,1873X1698,DB03056,
146-91-8,Guanosine-5'-Diphosphate,1873X1735,DB04315,
220651-94-5,Ruplizumab,1873X1784,,"Investigated for use/treatment in thrombocytopenia, systemic lupus erythematosus, transplant (rejection), blood (blood forming organ disorders, unspecified), and multiple sclerosis."
,"(9aS)-4-bromo-9a-butyl-7-hydroxy-1,2,9,9a-tetrahydro-3H-fluoren-3-one",1873X1820,,
854601-70-0,Naloxegol,1873X1858,,Indicated for the treatment of opioid-induced constipation (OIC) in adult patients with chronic non-cancer pain.
51-41-2,Norepinephrine,1874X1619,DB00368,Mainly used to treat patients in vasodilatory shock states such as septic shock and neurogenic shock and has shown a survival benefit over dopamine. Also used as a vasopressor medication for patients with critical hypotension.
1622-62-4,Flunitrazepam,1874X1654,,"For short-term treatment of severe insomnias, that are not responsive to other hypnotics."
,Iodo-Willardiine,1874X1691,DB02818,
,4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,1874X1725,DB03980,
,SR-123781A,1874X1764,,"Investigated for use/treatment in cardiovascular disorders, thrombosis, and venous thromboembolism."
,5-[3-(BENZYLAMINO)PHENYL]-4-BROMO-3-(CARBOXYMETHOXY)THIOPHENE-2-CARBOXYLIC ACID,1874X1806,,
,"1-methyl-8-(phenylamino)-4,5-dihydro-1H-pyrazolo[4,3-h]quinazoline-3-carboxylic acid",1874X1838,,
87857-41-8,Desmethylsertraline,1874X1957,,
20537-88-6,Amifostine,1875X1643,DB01143,For reduction in the cumulative renal toxicity in patients with ovarian cancer (using cisplatin) and moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.
232925-18-7,Thymectacin,1875X1758,,Investigated for use/treatment in colorectal cancer.
,"(2R,3R)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine",1875X1803,,
141200-24-0,Darglitazone,1875X1956,,
356-12-7,Fluocinonide,1876X1640,DB01047,A topical anti-inflammatory product for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
,Z-Pro-Prolinal,1876X1712,DB03535,
91-64-5,Coumarin,1876X1745,,
,"17-HYDROXY-18A-HOMO-19-NOR-17ALPHA-PREGNA-4,9,11-TRIEN-3-ONE",1876X1793,,
