Source_label,:TYPE,Target_label,HSA,Bliss,Loewe,ZIP
Citalopram,HAS_ANTAGONISM_WITH,Azatadine,-9.74,-23.7,-9.75,-23.7
Azatadine,HAS_ANTAGONISM_WITH,Clofibrate,0.51,-13.66,0.51,-13.66
Clofibrate,HAS_ANTAGONISM_WITH,Azatadine,0.51,-13.66,0.51,-13.66
Azatadine,HAS_ANTAGONISM_WITH,Maraviroc,11.3,-3.22,11.28,-3.22
Maraviroc,HAS_ANTAGONISM_WITH,Azatadine,11.3,-3.22,11.28,-3.22
Azatadine,HAS_ANTAGONISM_WITH,Eflornithine,-11.64,-25.23,-11.64,-25.23
Eflornithine,HAS_ANTAGONISM_WITH,Azatadine,-11.64,-25.23,-11.64,-25.23
Azatadine,HAS_SYNERGISM_WITH,Diazoxide,7.34,6.45,7.34,6.45
Diazoxide,HAS_SYNERGISM_WITH,Azatadine,7.34,6.45,7.34,6.45
Azatadine,HAS_ANTAGONISM_WITH,Nizatidine,-11.09,-24.09,-11.1,-24.09
Nizatidine,HAS_ANTAGONISM_WITH,Azatadine,-11.09,-24.09,-11.1,-24.09
Azatadine,HAS_ANTAGONISM_WITH,Orlistat,-5.1,-19.19,-5.11,-19.19
Orlistat,HAS_ANTAGONISM_WITH,Azatadine,-5.1,-19.19,-5.11,-19.19
Azatadine,HAS_ANTAGONISM_WITH,Quinine,-38.66,-47.97,-38.66,-47.97
Quinine,HAS_ANTAGONISM_WITH,Azatadine,-38.66,-47.97,-38.66,-47.97
Azatadine,HAS_ANTAGONISM_WITH,Asenapine,-10.61,-24.28,-10.61,-24.28
Asenapine,HAS_ANTAGONISM_WITH,Azatadine,-10.61,-24.28,-10.61,-24.28
Azatadine,HAS_SYNERGISM_WITH,Diclofenamide,20.66,7.38,20.66,7.38
Diclofenamide,HAS_SYNERGISM_WITH,Azatadine,20.66,7.38,20.66,7.38
Azatadine,HAS_ANTAGONISM_WITH,Diethylcarbamazine,-12.83,-26.69,-12.83,-26.69
Diethylcarbamazine,HAS_ANTAGONISM_WITH,Azatadine,-12.83,-26.69,-12.83,-26.69
Azatadine,HAS_ANTAGONISM_WITH,Diphenidol,0.66,-13.62,0.66,-13.62
Diphenidol,HAS_ANTAGONISM_WITH,Azatadine,0.66,-13.62,0.66,-13.62
Azatadine,HAS_ANTAGONISM_WITH,Dipyridamole,-5.65,-12.84,-5.65,-12.84
Dipyridamole,HAS_ANTAGONISM_WITH,Azatadine,-5.65,-12.84,-5.65,-12.84
Azatadine,HAS_SYNERGISM_WITH,Disulfiram,6.31,4.43,6.31,4.43
Disulfiram,HAS_SYNERGISM_WITH,Azatadine,6.31,4.43,6.31,4.43
Azatadine,HAS_ANTAGONISM_WITH,Valproic Acid,-6.57,-19.32,-6.59,-19.32
Valproic Acid,HAS_ANTAGONISM_WITH,Azatadine,-6.57,-19.32,-6.59,-19.32
Azatadine,HAS_ANTAGONISM_WITH,Doxapram,-8.14,-21.84,-8.14,-21.84
Doxapram,HAS_ANTAGONISM_WITH,Azatadine,-8.14,-21.84,-8.14,-21.84
Azatadine,HAS_SYNERGISM_WITH,Doxorubicin,5.0,4.53,4.95,4.53
Doxorubicin,HAS_SYNERGISM_WITH,Azatadine,5.0,4.53,4.95,4.53
Azatadine,HAS_ANTAGONISM_WITH,Enoxacin,9.49,-5.52,9.47,-5.52
Enoxacin,HAS_ANTAGONISM_WITH,Azatadine,9.49,-5.52,9.47,-5.52
Azatadine,HAS_ANTAGONISM_WITH,Felbamate,-3.05,-16.92,-3.05,-16.92
Felbamate,HAS_ANTAGONISM_WITH,Azatadine,-3.05,-16.92,-3.05,-16.92
Azatadine,HAS_ANTAGONISM_WITH,Fenoprofen,-8.56,-21.96,-8.58,-21.96
Fenoprofen,HAS_ANTAGONISM_WITH,Azatadine,-8.56,-21.96,-8.58,-21.96
Azatadine,HAS_ANTAGONISM_WITH,Flumazenil,-11.48,-25.66,-11.48,-25.66
Flumazenil,HAS_ANTAGONISM_WITH,Azatadine,-11.48,-25.66,-11.48,-25.66
Azatadine,HAS_ANTAGONISM_WITH,Fluorouracil,-14.36,-24.3,-14.36,-24.3
Fluorouracil,HAS_ANTAGONISM_WITH,Azatadine,-14.36,-24.3,-14.36,-24.3
Azatadine,HAS_ANTAGONISM_WITH,Flutamide,0.3,-12.52,0.3,-12.52
Flutamide,HAS_ANTAGONISM_WITH,Azatadine,0.3,-12.52,0.3,-12.52
Azatadine,HAS_ANTAGONISM_WITH,Fomepizole,-3.91,-18.09,-3.91,-18.09
Fomepizole,HAS_ANTAGONISM_WITH,Azatadine,-3.91,-18.09,-3.91,-18.09
Azatadine,HAS_ANTAGONISM_WITH,Gabapentin,-9.8,-23.86,-9.82,-23.86
Gabapentin,HAS_ANTAGONISM_WITH,Azatadine,-9.8,-23.86,-9.82,-23.86
Azatadine,HAS_ANTAGONISM_WITH,Guanfacine,-5.85,-19.99,-5.85,-19.99
Guanfacine,HAS_ANTAGONISM_WITH,Azatadine,-5.85,-19.99,-5.85,-19.99
Azatadine,HAS_ANTAGONISM_WITH,Hydralazine,-21.43,-33.71,-21.43,-33.71
Hydralazine,HAS_ANTAGONISM_WITH,Azatadine,-21.43,-33.71,-21.43,-33.71
Azatadine,HAS_ANTAGONISM_WITH,Hydroxychloroquine,-9.86,-22.81,-9.87,-22.81
Hydroxychloroquine,HAS_ANTAGONISM_WITH,Azatadine,-9.86,-22.81,-9.87,-22.81
Azatadine,HAS_ANTAGONISM_WITH,Hydroxyurea,0.03,-0.5,0.03,-0.5
Hydroxyurea,HAS_ANTAGONISM_WITH,Azatadine,0.03,-0.5,0.03,-0.5
Azatadine,HAS_ANTAGONISM_WITH,Imipramine,-0.24,-14.46,-0.25,-14.46
Imipramine,HAS_ANTAGONISM_WITH,Azatadine,-0.24,-14.46,-0.25,-14.46
Azatadine,HAS_SYNERGISM_WITH,Ribavirin,4.85,3.28,4.85,3.28
Ribavirin,HAS_SYNERGISM_WITH,Azatadine,4.85,3.28,4.85,3.28
Azatadine,HAS_SYNERGISM_WITH,Isoniazid,19.15,5.44,19.15,5.44
Isoniazid,HAS_SYNERGISM_WITH,Azatadine,19.15,5.44,19.15,5.44
Azatadine,HAS_ANTAGONISM_WITH,Isoprenaline,-35.13,-40.72,-35.13,-40.72
Isoprenaline,HAS_ANTAGONISM_WITH,Azatadine,-35.13,-40.72,-35.13,-40.72
Azatadine,HAS_ANTAGONISM_WITH,Guanadrel,-9.37,-23.62,-9.37,-23.62
Guanadrel,HAS_ANTAGONISM_WITH,Azatadine,-9.37,-23.62,-9.37,-23.62
Azatadine,HAS_SYNERGISM_WITH,Bortezomib,0.77,0.38,0.76,0.38
Bortezomib,HAS_SYNERGISM_WITH,Azatadine,0.77,0.38,0.76,0.38
Azatadine,HAS_ANTAGONISM_WITH,Lamotrigine,-11.24,-25.83,-11.24,-25.83
Lamotrigine,HAS_ANTAGONISM_WITH,Azatadine,-11.24,-25.83,-11.24,-25.83
Azatadine,HAS_ANTAGONISM_WITH,Lansoprazole,2.08,-8.71,2.08,-8.71
Lansoprazole,HAS_ANTAGONISM_WITH,Azatadine,2.08,-8.71,2.08,-8.71
Azatadine,HAS_ANTAGONISM_WITH,Methyldopa,-1.49,-16.46,-1.49,-16.46
Methyldopa,HAS_ANTAGONISM_WITH,Azatadine,-1.49,-16.46,-1.49,-16.46
Azatadine,HAS_SYNERGISM_WITH,Leflunomide,9.08,7.37,9.08,7.37
Leflunomide,HAS_SYNERGISM_WITH,Azatadine,9.08,7.37,9.08,7.37
Azatadine,HAS_ANTAGONISM_WITH,Loperamide,-7.3,-21.63,-7.31,-21.63
Loperamide,HAS_ANTAGONISM_WITH,Azatadine,-7.3,-21.63,-7.31,-21.63
Azatadine,HAS_ANTAGONISM_WITH,Maprotiline,-13.71,-21.22,-13.71,-21.22
Maprotiline,HAS_ANTAGONISM_WITH,Azatadine,-13.71,-21.22,-13.71,-21.22
Azatadine,HAS_ANTAGONISM_WITH,Mebendazole,-3.73,-17.95,-3.73,-17.95
Mebendazole,HAS_ANTAGONISM_WITH,Azatadine,-3.73,-17.95,-3.73,-17.95
Azatadine,HAS_ANTAGONISM_WITH,Mecamylamine,-6.19,-20.36,-6.19,-20.36
Mecamylamine,HAS_ANTAGONISM_WITH,Azatadine,-6.19,-20.36,-6.19,-20.36
Azatadine,HAS_ANTAGONISM_WITH,Meclofenamic acid,-3.82,-12.91,-3.82,-12.91
Meclofenamic acid,HAS_ANTAGONISM_WITH,Azatadine,-3.82,-12.91,-3.82,-12.91
Azatadine,HAS_SYNERGISM_WITH,Mefloquine,6.0,5.31,6.0,5.31
Mefloquine,HAS_SYNERGISM_WITH,Azatadine,6.0,5.31,6.0,5.31
Azatadine,HAS_ANTAGONISM_WITH,Memantine,-10.57,-24.58,-10.57,-24.58
Memantine,HAS_ANTAGONISM_WITH,Azatadine,-10.57,-24.58,-10.57,-24.58
Azatadine,HAS_ANTAGONISM_WITH,Mephenytoin,-8.86,-22.47,-8.86,-22.47
Mephenytoin,HAS_ANTAGONISM_WITH,Azatadine,-8.86,-22.47,-8.86,-22.47
Azatadine,HAS_ANTAGONISM_WITH,Mesalazine,-8.02,-21.67,-8.04,-21.67
Mesalazine,HAS_ANTAGONISM_WITH,Azatadine,-8.02,-21.67,-8.04,-21.67
Azatadine,HAS_ANTAGONISM_WITH,Metformin,-10.75,-24.12,-10.77,-24.12
Metformin,HAS_ANTAGONISM_WITH,Azatadine,-10.75,-24.12,-10.77,-24.12
Azatadine,HAS_ANTAGONISM_WITH,Methyclothiazide,-7.22,-21.47,-7.22,-21.47
Methyclothiazide,HAS_ANTAGONISM_WITH,Azatadine,-7.22,-21.47,-7.22,-21.47
Azatadine,HAS_ANTAGONISM_WITH,Metronidazole,-0.87,-14.01,-0.89,-14.01
Metronidazole,HAS_ANTAGONISM_WITH,Azatadine,-0.87,-14.01,-0.89,-14.01
Azatadine,HAS_ANTAGONISM_WITH,Acarbose,-8.0,-22.37,-8.0,-22.37
Acarbose,HAS_ANTAGONISM_WITH,Azatadine,-8.0,-22.37,-8.0,-22.37
Azatadine,HAS_ANTAGONISM_WITH,Milrinone,-5.6,-19.59,-5.6,-19.59
Milrinone,HAS_ANTAGONISM_WITH,Azatadine,-5.6,-19.59,-5.6,-19.59
Azatadine,HAS_ANTAGONISM_WITH,Minoxidil,-8.07,-22.36,-8.08,-22.36
Minoxidil,HAS_ANTAGONISM_WITH,Azatadine,-8.07,-22.36,-8.08,-22.36
Azatadine,HAS_SYNERGISM_WITH,Mitotane,27.77,22.85,27.77,22.85
Mitotane,HAS_SYNERGISM_WITH,Azatadine,27.77,22.85,27.77,22.85
Azatadine,HAS_SYNERGISM_WITH,Mitoxantrone,3.34,2.97,3.34,2.97
Mitoxantrone,HAS_SYNERGISM_WITH,Azatadine,3.34,2.97,3.34,2.97
Azatadine,HAS_ANTAGONISM_WITH,Sitagliptin,-9.23,-24.18,-9.23,-24.18
Sitagliptin,HAS_ANTAGONISM_WITH,Azatadine,-9.23,-24.18,-9.23,-24.18
Azatadine,HAS_ANTAGONISM_WITH,Pentostatin,2.59,-12.43,2.59,-12.43
Pentostatin,HAS_ANTAGONISM_WITH,Azatadine,2.59,-12.43,2.59,-12.43
Azatadine,HAS_SYNERGISM_WITH,Digitoxin,2.16,1.5,2.11,1.5
Digitoxin,HAS_SYNERGISM_WITH,Azatadine,2.16,1.5,2.11,1.5
Azatadine,HAS_ANTAGONISM_WITH,Abacavir,-12.87,-27.12,-12.87,-27.12
Abacavir,HAS_ANTAGONISM_WITH,Azatadine,-12.87,-27.12,-12.87,-27.12
Azatadine,HAS_ANTAGONISM_WITH,Miglitol,-4.91,-19.52,-4.93,-19.52
Miglitol,HAS_ANTAGONISM_WITH,Azatadine,-4.91,-19.52,-4.93,-19.52
Azatadine,HAS_ANTAGONISM_WITH,Metyrosine,3.4,-8.93,3.38,-8.93
Metyrosine,HAS_ANTAGONISM_WITH,Azatadine,3.4,-8.93,3.38,-8.93
Azatadine,HAS_ANTAGONISM_WITH,Tacrolimus,-9.64,-21.56,-9.64,-21.56
Tacrolimus,HAS_ANTAGONISM_WITH,Azatadine,-9.64,-21.56,-9.64,-21.56
Azatadine,HAS_SYNERGISM_WITH,Cerivastatin,2.04,1.4,2.01,1.4
Cerivastatin,HAS_SYNERGISM_WITH,Azatadine,2.04,1.4,2.01,1.4
Azatadine,HAS_SYNERGISM_WITH,Mycophenolic acid,5.96,5.15,5.96,5.15
Mycophenolic acid,HAS_SYNERGISM_WITH,Azatadine,5.96,5.15,5.96,5.15
Azatadine,HAS_ANTAGONISM_WITH,Eptifibatide,-7.8,-22.79,-7.81,-22.79
Eptifibatide,HAS_ANTAGONISM_WITH,Azatadine,-7.8,-22.79,-7.81,-22.79
Azatadine,HAS_ANTAGONISM_WITH,Nisoldipine,-6.28,-20.9,-6.28,-20.9
Nisoldipine,HAS_ANTAGONISM_WITH,Azatadine,-6.28,-20.9,-6.28,-20.9
Azatadine,HAS_SYNERGISM_WITH,Oxyphenbutazone,3.09,2.48,3.09,2.48
Oxyphenbutazone,HAS_SYNERGISM_WITH,Azatadine,3.09,2.48,3.09,2.48
Azatadine,HAS_SYNERGISM_WITH,Aminosalicylic Acid,24.73,11.6,24.73,11.6
Aminosalicylic Acid,HAS_SYNERGISM_WITH,Azatadine,24.73,11.6,24.73,11.6
Azatadine,HAS_ANTAGONISM_WITH,Pamidronate,-7.81,-18.81,-7.82,-18.81
Pamidronate,HAS_ANTAGONISM_WITH,Azatadine,-7.81,-18.81,-7.82,-18.81
Azatadine,HAS_ANTAGONISM_WITH,Pargyline,-9.9,-24.03,-9.9,-24.03
Pargyline,HAS_ANTAGONISM_WITH,Azatadine,-9.9,-24.03,-9.9,-24.03
Azatadine,HAS_SYNERGISM_WITH,Primidone,18.13,3.51,18.11,3.51
Primidone,HAS_SYNERGISM_WITH,Azatadine,18.13,3.51,18.11,3.51
Azatadine,HAS_ANTAGONISM_WITH,Probenecid,-0.34,-14.88,-0.34,-14.88
Probenecid,HAS_ANTAGONISM_WITH,Azatadine,-0.34,-14.88,-0.34,-14.88
Azatadine,HAS_ANTAGONISM_WITH,Probucol,-9.76,-23.85,-9.77,-23.85
Probucol,HAS_ANTAGONISM_WITH,Azatadine,-9.76,-23.85,-9.77,-23.85
Azatadine,HAS_SYNERGISM_WITH,Procarbazine,28.7,14.65,28.7,14.65
Procarbazine,HAS_SYNERGISM_WITH,Azatadine,28.7,14.65,28.7,14.65
Azatadine,HAS_ANTAGONISM_WITH,Riluzole,-12.39,-26.93,-12.39,-26.93
Riluzole,HAS_ANTAGONISM_WITH,Azatadine,-12.39,-26.93,-12.39,-26.93
Azatadine,HAS_SYNERGISM_WITH,Risperidone,16.84,1.9,16.83,1.9
Risperidone,HAS_SYNERGISM_WITH,Azatadine,16.84,1.9,16.83,1.9
Azatadine,HAS_SYNERGISM_WITH,Miglustat,17.13,3.33,17.13,3.33
Miglustat,HAS_SYNERGISM_WITH,Azatadine,17.13,3.33,17.13,3.33
Azatadine,HAS_ANTAGONISM_WITH,Entacapone,-5.05,-19.19,-5.05,-19.19
Entacapone,HAS_ANTAGONISM_WITH,Azatadine,-5.05,-19.19,-5.05,-19.19
Azatadine,HAS_ANTAGONISM_WITH,Acitretin,-5.07,-14.46,-5.07,-14.46
Acitretin,HAS_ANTAGONISM_WITH,Azatadine,-5.07,-14.46,-5.07,-14.46
Azatadine,HAS_ANTAGONISM_WITH,Levetiracetam,-10.86,-24.92,-10.88,-24.92
Levetiracetam,HAS_ANTAGONISM_WITH,Azatadine,-10.86,-24.92,-10.88,-24.92
Azatadine,HAS_ANTAGONISM_WITH,Nabilone,-0.57,-12.53,-0.57,-12.53
Nabilone,HAS_ANTAGONISM_WITH,Azatadine,-0.57,-12.53,-0.57,-12.53
Azatadine,HAS_SYNERGISM_WITH,Topiramate,23.18,8.29,23.18,8.29
Topiramate,HAS_SYNERGISM_WITH,Azatadine,23.18,8.29,23.18,8.29
Azatadine,HAS_SYNERGISM_WITH,Imatinib,2.19,0.95,2.19,0.95
Imatinib,HAS_SYNERGISM_WITH,Azatadine,2.19,0.95,2.19,0.95
Azatadine,HAS_ANTAGONISM_WITH,Vorinostat,-0.16,-0.65,-0.16,-0.65
Vorinostat,HAS_ANTAGONISM_WITH,Azatadine,-0.16,-0.65,-0.16,-0.65
Azatadine,HAS_ANTAGONISM_WITH,Dexmedetomidine,-3.9,-18.19,-3.91,-18.19
Dexmedetomidine,HAS_ANTAGONISM_WITH,Azatadine,-3.9,-18.19,-3.91,-18.19
Azatadine,HAS_SYNERGISM_WITH,Iloprost,17.58,2.65,17.58,2.65
Iloprost,HAS_SYNERGISM_WITH,Azatadine,17.58,2.65,17.58,2.65
Azatadine,HAS_ANTAGONISM_WITH,Nateglinide,-3.71,-18.11,-3.73,-18.11
Nateglinide,HAS_ANTAGONISM_WITH,Azatadine,-3.71,-18.11,-3.73,-18.11
Azatadine,HAS_ANTAGONISM_WITH,Fluvoxamine,-1.9,-16.54,-1.9,-16.54
Fluvoxamine,HAS_ANTAGONISM_WITH,Azatadine,-1.9,-16.54,-1.9,-16.54
Azatadine,HAS_ANTAGONISM_WITH,Sunitinib,-8.92,-21.4,-8.93,-21.4
Sunitinib,HAS_ANTAGONISM_WITH,Azatadine,-8.92,-21.4,-8.93,-21.4
Azatadine,HAS_ANTAGONISM_WITH,Sulfinpyrazone,2.44,-12.57,2.44,-12.57
Sulfinpyrazone,HAS_ANTAGONISM_WITH,Azatadine,2.44,-12.57,2.44,-12.57
Azatadine,HAS_ANTAGONISM_WITH,Sumatriptan,7.43,-6.64,7.43,-6.64
Sumatriptan,HAS_ANTAGONISM_WITH,Azatadine,7.43,-6.64,7.43,-6.64
Azatadine,HAS_ANTAGONISM_WITH,Naltrexone,-5.62,-19.55,-5.63,-19.55
Naltrexone,HAS_ANTAGONISM_WITH,Azatadine,-5.62,-19.55,-5.63,-19.55
Azatadine,HAS_ANTAGONISM_WITH,Dextromethorphan,-0.52,-10.75,-0.53,-10.75
Dextromethorphan,HAS_ANTAGONISM_WITH,Azatadine,-0.52,-10.75,-0.53,-10.75
Azatadine,HAS_ANTAGONISM_WITH,Terazosin,-6.46,-20.6,-6.47,-20.6
Terazosin,HAS_ANTAGONISM_WITH,Azatadine,-6.46,-20.6,-6.47,-20.6
Azatadine,HAS_SYNERGISM_WITH,Thalidomide,21.94,6.93,21.94,6.93
Thalidomide,HAS_SYNERGISM_WITH,Azatadine,21.94,6.93,21.94,6.93
Azatadine,HAS_ANTAGONISM_WITH,Enalaprilat,-3.22,-18.27,-3.22,-18.27
Enalaprilat,HAS_ANTAGONISM_WITH,Azatadine,-3.22,-18.27,-3.22,-18.27
Azatadine,HAS_ANTAGONISM_WITH,Tetracycline,-3.6,-18.09,-3.6,-18.09
Tetracycline,HAS_ANTAGONISM_WITH,Azatadine,-3.6,-18.09,-3.6,-18.09
Azatadine,HAS_ANTAGONISM_WITH,Phenprocoumon,-18.63,-32.28,-18.63,-32.28
Phenprocoumon,HAS_ANTAGONISM_WITH,Azatadine,-18.63,-32.28,-18.63,-32.28
Azatadine,HAS_ANTAGONISM_WITH,Teriflunomide,-24.39,-36.09,-24.39,-36.09
Teriflunomide,HAS_ANTAGONISM_WITH,Azatadine,-24.39,-36.09,-24.39,-36.09
Azatadine,HAS_ANTAGONISM_WITH,Aliskiren,5.27,-8.7,5.27,-8.7
Aliskiren,HAS_ANTAGONISM_WITH,Azatadine,5.27,-8.7,5.27,-8.7
Azatadine,HAS_ANTAGONISM_WITH,Tolazoline,3.89,-8.03,3.87,-8.03
Tolazoline,HAS_ANTAGONISM_WITH,Azatadine,3.89,-8.03,3.87,-8.03
Azatadine,HAS_ANTAGONISM_WITH,Tranexamic Acid,-2.01,-14.68,-2.03,-14.68
Tranexamic Acid,HAS_ANTAGONISM_WITH,Azatadine,-2.01,-14.68,-2.03,-14.68
Azatadine,HAS_ANTAGONISM_WITH,Itraconazole,-11.9,-25.98,-11.9,-25.98
Itraconazole,HAS_ANTAGONISM_WITH,Azatadine,-11.9,-25.98,-11.9,-25.98
Azatadine,HAS_ANTAGONISM_WITH,Tranylcypromine,-4.32,-17.93,-4.33,-17.93
Tranylcypromine,HAS_ANTAGONISM_WITH,Azatadine,-4.32,-17.93,-4.33,-17.93
Azatadine,HAS_ANTAGONISM_WITH,Trazodone,12.51,-0.73,12.51,-0.73
Trazodone,HAS_ANTAGONISM_WITH,Azatadine,12.51,-0.73,12.51,-0.73
Azatadine,HAS_ANTAGONISM_WITH,Triamterene,-11.34,-26.38,-11.34,-26.38
Triamterene,HAS_ANTAGONISM_WITH,Azatadine,-11.34,-26.38,-11.34,-26.38
Azatadine,HAS_ANTAGONISM_WITH,Trifluoperazine,-12.14,-26.99,-12.15,-26.99
Trifluoperazine,HAS_ANTAGONISM_WITH,Azatadine,-12.14,-26.99,-12.15,-26.99
Azatadine,HAS_ANTAGONISM_WITH,Triflupromazine,-8.49,-22.78,-8.49,-22.78
Triflupromazine,HAS_ANTAGONISM_WITH,Azatadine,-8.49,-22.78,-8.49,-22.78
Azatadine,HAS_SYNERGISM_WITH,Trihexyphenidyl,16.98,2.3,16.98,2.3
Trihexyphenidyl,HAS_SYNERGISM_WITH,Azatadine,16.98,2.3,16.98,2.3
Azatadine,HAS_ANTAGONISM_WITH,Trimethoprim,-5.68,-20.19,-5.68,-20.19
Trimethoprim,HAS_ANTAGONISM_WITH,Azatadine,-5.68,-20.19,-5.68,-20.19
Azatadine,HAS_ANTAGONISM_WITH,Ranolazine,-17.49,-30.41,-17.49,-30.41
Ranolazine,HAS_ANTAGONISM_WITH,Azatadine,-17.49,-30.41,-17.49,-30.41
Azatadine,HAS_SYNERGISM_WITH,Zafirlukast,21.13,6.41,21.12,6.41
Zafirlukast,HAS_SYNERGISM_WITH,Azatadine,21.13,6.41,21.12,6.41
Azatadine,HAS_ANTAGONISM_WITH,Zaleplon,-11.16,-25.88,-11.17,-25.88
Zaleplon,HAS_ANTAGONISM_WITH,Azatadine,-11.16,-25.88,-11.17,-25.88
Azatadine,HAS_ANTAGONISM_WITH,Zonisamide,-2.93,-17.34,-2.95,-17.34
Zonisamide,HAS_ANTAGONISM_WITH,Azatadine,-2.93,-17.34,-2.95,-17.34
Azatadine,HAS_ANTAGONISM_WITH,Prednisolone,-5.75,-8.85,-5.75,-8.85
Prednisolone,HAS_ANTAGONISM_WITH,Azatadine,-5.75,-8.85,-5.75,-8.85
Azatadine,HAS_SYNERGISM_WITH,Epinephrine,4.79,3.34,4.79,3.34
Epinephrine,HAS_SYNERGISM_WITH,Azatadine,4.79,3.34,4.79,3.34
Azatadine,HAS_ANTAGONISM_WITH,Carbachol,1.99,-12.41,1.99,-12.41
Carbachol,HAS_ANTAGONISM_WITH,Azatadine,1.99,-12.41,1.99,-12.41
Azatadine,HAS_ANTAGONISM_WITH,Spironolactone,-12.96,-27.14,-12.96,-27.14
Spironolactone,HAS_ANTAGONISM_WITH,Azatadine,-12.96,-27.14,-12.96,-27.14
Azatadine,HAS_ANTAGONISM_WITH,Liothyronine,-3.99,-18.05,-4.01,-18.05
Liothyronine,HAS_ANTAGONISM_WITH,Azatadine,-3.99,-18.05,-4.01,-18.05
Azatadine,HAS_ANTAGONISM_WITH,Ethinyl Estradiol,-7.86,-21.84,-7.88,-21.84
Ethinyl Estradiol,HAS_ANTAGONISM_WITH,Azatadine,-7.86,-21.84,-7.88,-21.84
Azatadine,HAS_ANTAGONISM_WITH,Testosterone,-2.61,-15.73,-2.62,-15.73
Testosterone,HAS_ANTAGONISM_WITH,Azatadine,-2.61,-15.73,-2.62,-15.73
Azatadine,HAS_ANTAGONISM_WITH,Tetrabenazine,2.73,-11.34,2.73,-11.34
Tetrabenazine,HAS_ANTAGONISM_WITH,Azatadine,2.73,-11.34,2.73,-11.34
Azatadine,HAS_ANTAGONISM_WITH,Zileuton,-0.38,-12.47,-0.38,-12.47
Zileuton,HAS_ANTAGONISM_WITH,Azatadine,-0.38,-12.47,-0.38,-12.47
Azatadine,HAS_ANTAGONISM_WITH,Clopidogrel,-6.13,-20.53,-6.14,-20.53
Clopidogrel,HAS_ANTAGONISM_WITH,Azatadine,-6.13,-20.53,-6.14,-20.53
Azatadine,HAS_SYNERGISM_WITH,Tiagabine,19.76,7.27,19.76,7.27
Tiagabine,HAS_SYNERGISM_WITH,Azatadine,19.76,7.27,19.76,7.27
Azatadine,HAS_ANTAGONISM_WITH,Ibutilide,-11.14,-25.75,-11.14,-25.75
Ibutilide,HAS_ANTAGONISM_WITH,Azatadine,-11.14,-25.75,-11.14,-25.75
Azatadine,HAS_ANTAGONISM_WITH,Aripiprazole,-6.39,-19.11,-6.39,-19.11
Aripiprazole,HAS_ANTAGONISM_WITH,Azatadine,-6.39,-19.11,-6.39,-19.11
Azatadine,HAS_ANTAGONISM_WITH,Proguanil,-7.38,-21.74,-7.38,-21.74
Proguanil,HAS_ANTAGONISM_WITH,Azatadine,-7.38,-21.74,-7.38,-21.74
Azatadine,HAS_ANTAGONISM_WITH,Cytarabine,-0.07,-0.42,-0.07,-0.42
Cytarabine,HAS_ANTAGONISM_WITH,Azatadine,-0.07,-0.42,-0.07,-0.42
Azatadine,HAS_ANTAGONISM_WITH,Ivermectin,-7.22,-15.91,-7.22,-15.91
Ivermectin,HAS_ANTAGONISM_WITH,Azatadine,-7.22,-15.91,-7.22,-15.91
Azatadine,HAS_SYNERGISM_WITH,Palonosetron,82.04,67.69,82.04,67.69
Palonosetron,HAS_SYNERGISM_WITH,Azatadine,82.04,67.69,82.04,67.69
Azatadine,HAS_SYNERGISM_WITH,Everolimus,12.31,6.58,12.3,6.58
Everolimus,HAS_SYNERGISM_WITH,Azatadine,12.31,6.58,12.3,6.58
Azatadine,HAS_SYNERGISM_WITH,Oseltamivir,20.76,5.78,20.76,5.78
Oseltamivir,HAS_SYNERGISM_WITH,Azatadine,20.76,5.78,20.76,5.78
Azatadine,HAS_ANTAGONISM_WITH,Trilostane,-9.3,-24.16,-9.3,-24.16
Trilostane,HAS_ANTAGONISM_WITH,Azatadine,-9.3,-24.16,-9.3,-24.16
Azatadine,HAS_ANTAGONISM_WITH,Propylthiouracil,-2.83,-17.8,-2.83,-17.8
Propylthiouracil,HAS_ANTAGONISM_WITH,Azatadine,-2.83,-17.8,-2.83,-17.8
Azatadine,HAS_ANTAGONISM_WITH,Etomidate,-10.21,-23.13,-10.23,-23.13
Etomidate,HAS_ANTAGONISM_WITH,Azatadine,-10.21,-23.13,-10.23,-23.13
Azatadine,HAS_ANTAGONISM_WITH,Mercaptopurine,-10.6,-22.98,-10.6,-22.98
Mercaptopurine,HAS_ANTAGONISM_WITH,Azatadine,-10.6,-22.98,-10.6,-22.98
Azatadine,HAS_ANTAGONISM_WITH,Dopamine,-10.35,-25.13,-10.35,-25.13
Dopamine,HAS_ANTAGONISM_WITH,Azatadine,-10.35,-25.13,-10.35,-25.13
Azatadine,HAS_ANTAGONISM_WITH,Sertraline,-13.31,-27.72,-13.31,-27.72
Sertraline,HAS_ANTAGONISM_WITH,Azatadine,-13.31,-27.72,-13.31,-27.72
Azatadine,HAS_ANTAGONISM_WITH,Isosorbide Dinitrate,-7.07,-22.05,-7.08,-22.05
Isosorbide Dinitrate,HAS_ANTAGONISM_WITH,Azatadine,-7.07,-22.05,-7.08,-22.05
Azatadine,HAS_ANTAGONISM_WITH,Dantrolene,-8.02,-19.17,-8.02,-19.17
Dantrolene,HAS_ANTAGONISM_WITH,Azatadine,-8.02,-19.17,-8.02,-19.17
Azatadine,HAS_ANTAGONISM_WITH,Cisapride,-10.5,-25.3,-10.51,-25.3
